id,title,overview,popularity,poster,genre_ids,vote_avg
1013446,Reflection in a Dead Diamond,"When the mysterious woman in the room next door disappears, a debonair 70-year-old ex-spy living in a luxury hotel on the Côte d'Azur is confronted by the demons and darlings of a lurid past in which moviemaking, memories and madness collide.",0.2224499437671916,/5CdRxBu7jRDHjthkAL8vE0GdKUD.jpg,"[28, 53, 9648]",0.676982591876209
1196067,Worldbreaker,"Five years ago, a tear in the fabric of reality brought creatures to our world from an alternate dimension bent on our destruction. A father hides his daughter on an island to keep her safe while he prepares her for survival and the battles to come. But when the world is about to break, no place is safe.",0.2191103021214899,/7K8w6mdrJp0oaSoKWGyjSZ4Zv2z.jpg,"[878, 28]",0.6826715212197065
76600,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",0.2166514153052605,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,"[28, 12, 878]",0.8647172602116282
812583,Wake Up Dead Man: A Knives Out Mystery,"When young priest Jud Duplenticy is sent to assist charismatic firebrand Monsignor Jefferson Wicks, it’s clear that all is not well in the pews. After a sudden and seemingly impossible murder rocks the town, the lack of an obvious suspect prompts local police chief Geraldine Scott to join forces with renowned detective Benoit Blanc to unravel a mystery that defies all logic.",0.2034997131900939,/qCOGGi8JBVEZMc3DVby8rUivyXz.jpg,"[53, 9648, 35]",0.8192058254636478
1242898,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",0.2020912281335676,/ef2QSeBkrYhAdfsWGXmp0lvH0T1.jpg,"[28, 878, 12]",0.8305836841506429
533533,TRON: Ares,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",0.2069623895104357,/chpWmskl3aKm1aTZqUHRCtviwPy.jpg,"[878, 12, 28]",0.7499146660598476
19995,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",0.1966406655796496,/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,"[28, 12, 14, 878]",0.8644897030378883
1103437,Please Don't Feed the Children,"After a viral outbreak ravaged the country’s adult population, a group of orphans heads south in search of a new life, only to find themselves at the mercy of a deranged woman harboring a dangerous secret.",0.1899093500029358,/GoIIdrjmXo587L2s2mqgMFvBIs.jpg,"[27, 53]",0.7050859028330869
1259102,Eternity,"In an afterlife where souls have one week to decide where to spend eternity, Joan is faced with the impossible choice between the man she spent her life with and her first love, who died young and has waited decades for her to arrive.",0.1899658989796793,/o8pg20G67BGmQvRkXwstNre062J.jpg,"[10749, 35, 18, 14]",0.7964501080896575
1234731,Anaconda,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.",0.1698149511519821,/5MDnvvkOqthhE5gQebzkcOhD1p5.jpg,"[12, 35, 27]",0.7511662305154171
1387382,Hunting Season,"When a reclusive survivalist and his daughter rescue a mysterious, wounded woman from a river, they become entangled in a deadly web of violence and revenge, forcing them to confront a brutal criminal to survive.",0.165151196245726,/cbryTyaWdqrKpQCw6K7zm2jrB5v.jpg,"[28, 18, 53]",0.8156786892706793
1137179,Yadang: The Snitch,"Navigating both the criminal underworld and law enforcement agencies, professional snitches called ""yadang"" provide covert information about the drug world to prosecutors and police. When a drug bust at a party attended by high-profile second-generation VIPs entangles those involved into a dangerous conspiracy, a seasoned yadang must do everything in his power not just to make it out on top, but alive.",0.2749322722119592,/y7dsDbG8zVWkrkyOhA6ckZXX1uC.jpg,"[80, 28, 35, 18, 53]",0.8007736943907158
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",0.155725583895285,/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg,"[16, 28, 14]",0.8696097394470361
1368166,The Housemaid,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",0.1468625706297622,/cWsBscZzwu5brg9YjNkGewRUvJX.jpg,"[9648, 53]",0.8760951188986233
1214931,Nuremberg,"In postwar Germany, an American psychiatrist must determine whether Nazi prisoners are fit to go on trial for war crimes, and finds himself in a complex battle of intellect and ethics with Hermann Göring, Hitler's right-hand man.",0.1460764856527296,/sxu8TsG7k06ymWL98ELEIE1EMZV.jpg,"[36, 18]",0.8305836841506429
1015539,Santastein,"When Max Causey was six, he accidentally killed Santa. 12 years later, Max rectifies his mistake by resurrecting him, but soon realizes the creature he created is a bloodthirsty killer and it's headed right to his friend's Christmas party.",0.132341407672052,/ipkIS0Tm4mBvj9iOHHYzzB49JHP.jpg,"[27, 35, 14]",0.5310046649220617
1589891,A Time for Bravery,"A psychoanalyst on community service aids an agent shattered by infidelity; together, they will confront danger and discover second chances.",0.1379816712661641,/qKKG22O5pFxqglG0oMjWTjQWCNl.jpg,"[35, 28]",0.8841733985663899
1218925,Chainsaw Man - The Movie: Reze Arc,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",0.1362440097379867,/pHyxb2RV5wLlboAwm9ZJ9qTVEDw.jpg,"[16, 28, 10749, 14]",0.9411764705882354
1054867,One Battle After Another,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",0.1349858401723569,/m1jFoahEbeQXtx4zArT2FKdbNIj.jpg,"[53, 80, 28]",0.8499260439185345
1180831,Troll 2,"When a dangerous new troll unleashes devastation across their homeland, Nora, Andreas and Major Kris embark on their most perilous mission yet.",0.1254375544825904,/p6xAExLNFbHcLfvSuvLPoM8aqZU.jpg,"[28, 14, 53]",0.753669359426556
1438030,Slaughterhouse 2,"Unlike Buddy Bacon in the original 'Slaughterhouse' his brother Cleavon left the blood-splattered pig farm for a better life. But just like his father, Cleavon has a mute son who has a passion for home-reared, flame-grilled Wonder Jerky. Anyone who strays into Bacon's ranch, of abandoned Americana cars, will soon become part of the Wonder Jerky success story.",0.1067258052131652,/wkZgGYcCQIzX8zvMAHpzg4hFhLF.jpg,[27],0.8192058254636478
1062722,Frankenstein,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",0.1279710570412961,/g4JtvGlQO7DByTI6frUobqvSL3R.jpg,"[18, 14, 27]",0.8775742405279328
1317288,Marty Supreme,"In 1950s New York, Marty Mauser, a young man with a dream no one respects, goes to Hell and back in pursuit of greatness.",0.1166065193924146,/firAhZA0uQvRL2slp7v3AnOj0ZX.jpg,[18],0.9448173853680738
772,Home Alone 2: Lost in New York,"Instead of flying to Florida with his folks, Kevin ends up alone in New York, where he gets a hotel room with his dad's credit card—despite problems from a clerk and meddling bellboy. But when Kevin runs into his old nemeses, the Wet Bandits, he's determined to foil their plans to rob a toy store on Christmas Eve.",0.1083547048116313,/9CAkQ9nfrDaIAyncWndwg0tfC8g.jpg,"[35, 10751, 12]",0.7736943907156674
1033462,Bureau 749,A traumatized young man with physical abnormalities is forced to join a mysterious bureau to confront a disaster spreading across the earth caused by an unknown creature. He embarks on an adventure uncovering mysteries about his life.,0.119869377283752,/flykCMw22y6yv8vKnBjmsW3pneo.jpg,"[28, 12, 878]",0.7081579246785755
8871,How the Grinch Stole Christmas,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,0.1003767823993568,/1WZbbPApEivA421gCOluuzMMKCk.jpg,"[10751, 35, 14]",0.7715325975651383
1083637,Kantara - A Legend: Chapter 1,"During the Kadamba reign, King Vijayendra, the ruler of the fictional feudatory land of Bangra, meets his final fate while venturing into the mystical forest of Kantara. Witnessing this, his son Rajashekara seals the borders of their realm. Later, Prince Kulashekara reopens them through a brutal massacre. The protagonist, Berme, in search of prosperity, crosses the divide and ignites a conflict of faith, power, and destiny between the Kingdom and Nature.",0.1135116824223919,/ehQPboTPaIMkMUOoNOh8e7pZ5Rp.jpg,"[28, 18, 14]",0.7986119012401867
269149,Zootopia,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",0.1101097104349122,/hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg,"[16, 12, 10751, 35]",0.8825804983502106
